loss,accuracy
5.0237,0.0625
5.0536,0.0703
5.1666,0.0430
5.0202,0.0508
5.0905,0.0469
5.1431,0.0547
4.8907,0.0664
5.1973,0.0547
5.1422,0.0430
5.1722,0.0391
5.0144,0.0352
5.2138,0.0352
5.0931,0.0625
5.1329,0.0273
5.1309,0.0469
5.1865,0.0391
5.2752,0.0430
5.1412,0.0469
5.1845,0.0391
5.1920,0.0352
4.8463,0.0859
5.1785,0.0469
5.1106,0.0625
5.1725,0.0391
5.0306,0.0547
5.1135,0.0312
5.0326,0.0391
4.9959,0.0430
4.8564,0.0742
5.1399,0.0430
4.9476,0.0547
4.8769,0.0430
5.1347,0.0625
5.2006,0.0469
5.0473,0.0508
5.1660,0.0625
5.1428,0.0312
5.0098,0.0547
5.2766,0.0586
5.2349,0.0312
5.1596,0.0391
5.1479,0.0469
5.1735,0.0273
5.1971,0.0547
5.1028,0.0508
5.2627,0.0352
4.9979,0.0742
5.1358,0.0430
5.1101,0.0430
4.9862,0.0625
5.1922,0.0508
5.1490,0.0586
5.2148,0.0625
5.0445,0.0664
5.0918,0.0508
5.3297,0.0234
5.1206,0.0703
5.0621,0.0664
5.2572,0.0234
5.0783,0.0820
5.1780,0.0352
5.3491,0.0430
5.0433,0.0391
5.1536,0.0781
5.2280,0.0508
5.0927,0.0469
5.2156,0.0430
5.0316,0.0469
5.0716,0.0469
5.2347,0.0391
5.0833,0.0742
5.1275,0.0508
5.1478,0.0430
5.2795,0.0547
5.0540,0.0391
5.1248,0.0430
5.1160,0.0312
5.1317,0.0547
5.0100,0.0273
5.0740,0.0469
5.1256,0.0469
5.2510,0.0352
5.0431,0.0508
5.2197,0.0430
5.2004,0.0195
5.0109,0.0391
5.2338,0.0273
5.1207,0.0430
5.2351,0.0469
5.3001,0.0312
5.1479,0.0312
5.1671,0.0352
5.3107,0.0391
5.0853,0.0625
5.2588,0.0234
5.0619,0.0703
5.0922,0.0273
5.0974,0.0625
5.1538,0.0547
5.0751,0.0547
5.0951,0.0664
5.0770,0.0586
5.1495,0.0391
5.1297,0.0547
5.2106,0.0352
5.0925,0.0234
5.3047,0.0273
5.3035,0.0547
5.3574,0.0352
5.1792,0.0625
5.2362,0.0508
5.1019,0.0469
5.3301,0.0469
5.1588,0.0586
5.1696,0.0547
5.3487,0.0586
5.3128,0.0586
5.0905,0.0430
5.1084,0.0625
5.4119,0.0547
5.1740,0.0469
5.2542,0.0547
5.0808,0.0547
5.1532,0.0469
5.0746,0.0664
5.2291,0.0664
5.0779,0.0703
5.1436,0.0508
5.1398,0.0547
5.1137,0.0195
5.3325,0.0508
5.2821,0.0273
5.3212,0.0547
5.1755,0.0430
5.4078,0.0273
5.1766,0.0469
5.1193,0.0625
5.1484,0.0469
5.1919,0.0312
5.2776,0.0469
5.2425,0.0391
5.0102,0.0586
5.2521,0.0469
5.1689,0.0469
5.0151,0.0703
5.0933,0.0781
5.0766,0.0508
5.1263,0.0586
5.1317,0.0508
5.0989,0.0469
5.0816,0.0703
5.1391,0.0547
5.1813,0.0508
4.9763,0.0703
5.2594,0.0352
4.9844,0.0508
5.0956,0.0430
5.1728,0.0508
4.9927,0.0352
5.1355,0.0352
5.1556,0.0352
5.0138,0.0664
5.0487,0.0391
5.0950,0.0430
5.2677,0.0312
5.0522,0.0859
5.0997,0.0547
5.2846,0.0469
5.0758,0.0625
5.2522,0.0430
5.1583,0.0469
5.0575,0.0469
5.2537,0.0156
5.3589,0.0352
5.1986,0.0508
5.0536,0.0664
4.9893,0.0703
5.1071,0.0430
5.1065,0.0508
5.2042,0.0508
5.1481,0.0352
5.2666,0.0469
5.3061,0.0391
5.0374,0.0391
5.0577,0.0820
5.2165,0.0547
5.2934,0.0195
5.2027,0.0430
5.2248,0.0508
5.1515,0.0312
5.0931,0.0469
5.0599,0.0547
5.0556,0.0781
5.0147,0.0430
5.0381,0.0664
4.9951,0.0508
5.0045,0.0781
5.0678,0.0742
5.0042,0.0625
